2;3;4;Name;DAD;GP;TF;EA;IDD;EV;VC;DFM;CP;distanciaRequerida;distanciaPredict;residuos
2;3;4;267;5000;1;1;70;2;5;5;0;1;5302.8225;5295.948708;4.289087282
2;3;4;268;5200;1;1;70;2;5;5;0;1;5487.3354;5480.039113;4.289087282
2;3;4;269;5000;0.6;3;70;2;5;5;0;1;5595.0835;5593.10975;2.352707838
2;3;4;270;5200;0.6;3;70;2;5;5;0;1;5772.88684;5768.958603;2.352707838
2;3;4;271;5000;1;3;70;2;5;5;0;1;5762.8225;5758.960291;2.352707838
2;3;4;272;5200;1;3;70;2;5;5;0;1;5947.3354;5943.050696;0.835954378
2;3;4;273;5000;0.6;1;50;4;5;5;0;1;5135.0835;5130.098167;0.835954378
2;3;4;274;5200;0.6;1;50;4;5;5;0;1;5312.88684;5305.94702;0.835954378
2;3;4;275;5000;1;1;50;4;5;5;0;1;5302.8225;5295.948708;-3.079674463
2;3;4;276;5200;1;1;50;4;5;5;0;1;5487.3354;5480.039113;-1.589993259
2;3;4;277;5000;0.6;3;50;4;5;5;0;1;5595.0835;5593.10975;2.555286463
2;3;4;278;5200;0.6;3;50;4;5;5;0;1;5772.88684;5768.958603;-3.210050849
2;3;4;279;5000;1;3;50;4;5;5;0;1;5762.8225;5758.960291;-3.210050849
2;3;4;280;5200;1;3;50;4;5;5;0;1;5947.3354;5943.050696;-3.210050849
2;3;4;281;5000;0.6;1;70;4;5;5;0;1;5595.0835;5593.10975;-11.75912507
2;3;4;282;5200;0.6;1;70;4;5;5;0;1;5772.88684;5768.958603;-10.51132545
2;3;4;283;5000;1;1;70;4;5;5;0;1;5762.8225;5758.960291;0
2;3;4;284;5200;1;1;70;4;5;5;0;1;5947.3354;5943.050696;-3.486017838
2;3;4;285;5000;0.6;3;70;4;5;5;0;1;6055.0835;6056.121333;-3.486017838
2;3;4;286;5200;0.6;3;70;4;5;5;0;1;6232.88684;6231.970186;-3.486017838
2;3;4;287;5000;1;3;70;4;5;5;0;1;6222.8225;6221.971874;-0.093361645
2;3;4;288;5200;1;3;70;4;5;5;0;1;6407.3354;6406.062279;-0.093361645
2;3;4;289;5000;0.6;1;50;2;15;5;0;1;5483.2805;5474.710559;-0.093361645
2;3;4;290;5200;0.6;1;50;2;15;5;0;1;5693.41172;5687.646396;-1.669567042
2;3;4;291;5000;1;1;50;2;15;5;0;1;5681.5175;5675.587696;-1.669567042
2;3;4;292;5200;1;1;50;2;15;5;0;1;5899.5782;5896.765085;-1.669567042
2;3;4;293;5000;0.6;3;50;2;15;5;0;1;5943.2805;5937.722142;-11.52358603
2;3;4;294;5200;0.6;3;50;2;15;5;0;1;6153.41172;6150.657979;-10.49862642
2;3;4;295;5000;1;3;50;2;15;5;0;1;6141.5175;6138.599279;-2.081842378
2;3;4;296;5200;1;3;50;2;15;5;0;1;6359.5782;6359.776668;-2.081842378
2;3;4;297;5000;0.6;1;70;2;15;5;0;1;5943.2805;5937.722142;-2.081842378
2;3;4;298;5200;0.6;1;70;2;15;5;0;1;6153.41172;6150.657979;-0.354808633
2;3;4;299;5000;1;1;70;2;15;5;0;1;6141.5175;6138.599279;-0.354808633
